file_path,feature_path,text,emotion,speaker_id,raw_emotion,original_folder,original_file,dataset
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Pleasant_surprise\OAF_fit_ps.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_surprise_OAF_fit_ps.npy,fit,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,OAF_fit_ps.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_wag_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_anger_OAF_wag_angry.npy,wag,anger,oaf,angry,OAF_angry,OAF_wag_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Sad\OAF_chief_sad.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_sadness_OAF_chief_sad.npy,chief,sadness,oaf,sad,OAF_Sad,OAF_chief_sad.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_jar_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_anger_OAF_jar_angry.npy,jar,anger,oaf,angry,OAF_angry,OAF_jar_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_disgust\OAF_check_disgust.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_disgust_OAF_check_disgust.npy,check,disgust,oaf,disgust,OAF_disgust,OAF_check_disgust.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Fear\OAF_love_fear.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_fear_OAF_love_fear.npy,love,fear,oaf,fear,OAF_Fear,OAF_love_fear.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Fear\OAF_dime_fear.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_fear_OAF_dime_fear.npy,dime,fear,oaf,fear,OAF_Fear,OAF_dime_fear.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_disgust\OAF_fat_disgust.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_disgust_OAF_fat_disgust.npy,fat,disgust,oaf,disgust,OAF_disgust,OAF_fat_disgust.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_disgust\OAF_chalk_disgust.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_disgust_OAF_chalk_disgust.npy,chalk,disgust,oaf,disgust,OAF_disgust,OAF_chalk_disgust.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_gin_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline\processed_data\oaf_anger_OAF_gin_angry.npy,gin,anger,oaf,angry,OAF_angry,OAF_gin_angry.wav,TESS
