file_path,feature_path,emotion,speaker_id,raw_emotion,original_folder,original_file,dataset,sample_rate,duration,feature_type,feature_shape
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_back_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_back_angry.npy,anger,oaf,angry,OAF_angry,OAF_back_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bar_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_bar_angry.npy,anger,oaf,angry,OAF_angry,OAF_bar_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_base_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_base_angry.npy,anger,oaf,angry,OAF_angry,OAF_base_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bath_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_bath_angry.npy,anger,oaf,angry,OAF_angry,OAF_bath_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bean_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_bean_angry.npy,anger,oaf,angry,OAF_angry,OAF_bean_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_beg_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_beg_angry.npy,anger,oaf,angry,OAF_angry,OAF_beg_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bite_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_bite_angry.npy,anger,oaf,angry,OAF_angry,OAF_bite_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_boat_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_boat_angry.npy,anger,oaf,angry,OAF_angry,OAF_boat_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bone_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_bone_angry.npy,anger,oaf,angry,OAF_angry,OAF_bone_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_book_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_book_angry.npy,anger,oaf,angry,OAF_angry,OAF_book_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bought_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_bought_angry.npy,anger,oaf,angry,OAF_angry,OAF_bought_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_burn_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_burn_angry.npy,anger,oaf,angry,OAF_angry,OAF_burn_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_cab_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_cab_angry.npy,anger,oaf,angry,OAF_angry,OAF_cab_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_calm_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_calm_angry.npy,anger,oaf,angry,OAF_angry,OAF_calm_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_came_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_came_angry.npy,anger,oaf,angry,OAF_angry,OAF_came_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_cause_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_cause_angry.npy,anger,oaf,angry,OAF_angry,OAF_cause_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_chain_angry.wav,D:\Savio Shaju\Multimodal Emotion Recognition\models\speech_pipeline\processed_data\oaf_anger_OAF_chain_angry.npy,anger,oaf,angry,OAF_angry,OAF_chain_angry.wav,TESS,16000,3,mel_delta_mfcc,"(3, 128, 188)"
