,precision,recall,f1-score,support
anger,1.0,1.0,1.0,120.0
disgust,1.0,1.0,1.0,120.0
fear,1.0,1.0,1.0,120.0
happiness,0.9918032786885246,1.0,0.9958847736625515,121.0
neutral,1.0,1.0,1.0,121.0
sadness,1.0,1.0,1.0,120.0
surprise,1.0,0.9917355371900827,0.995850622406639,121.0
accuracy,0.9988137603795967,0.9988137603795967,0.9988137603795967,0.9988137603795967
macro avg,0.9988290398126464,0.9988193624557261,0.9988193422955985,843.0
weighted avg,0.9988234836551738,0.9988137603795967,0.9988137401238102,843.0
