,precision,recall,f1-score,support
anger,0.424390243902439,0.435,0.42962962962962964,400.0
disgust,0.9741935483870968,0.766497461928934,0.8579545454545454,394.0
fear,0.851528384279476,0.975,0.9090909090909091,200.0
happiness,0.0,0.0,0.0,200.0
neutral,0.4716981132075472,1.0,0.6410256410256411,200.0
sadness,0.7535545023696683,0.795,0.7737226277372263,200.0
surprise,0.7918781725888325,0.78,0.7858942065491183,200.0
accuracy,0.6610925306577481,0.6610925306577481,0.6610925306577481,0.6610925306577481
macro avg,0.6096061378192943,0.6787853517041335,0.6281882227838672,1794.0
weighted avg,0.6283836065298753,0.6610925306577481,0.6308988961212495,1794.0
