file_path,feature_path,emotion,speaker_id,raw_emotion,original_folder,dataset
../../dataset\OAF_angry\OAF_deep_angry.wav,processed_data\oaf_anger_OAF_deep_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_angry\OAF_mess_angry.wav,processed_data\oaf_anger_OAF_mess_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_happy\OAF_kite_happy.wav,processed_data\oaf_happiness_OAF_kite_happy.npy,happiness,oaf,happy,OAF_happy,TESS
../../dataset\OAF_Sad\OAF_youth_sad.wav,processed_data\oaf_sadness_OAF_youth_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\OAF_angry\OAF_walk_angry.wav,processed_data\oaf_anger_OAF_walk_angry.npy,anger,oaf,angry,OAF_angry,TESS
../../dataset\OAF_neutral\OAF_pad_neutral.wav,processed_data\oaf_neutral_OAF_pad_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Pleasant_surprise\OAF_ripe_ps.wav,processed_data\oaf_surprise_OAF_ripe_ps.npy,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,TESS
../../dataset\OAF_neutral\OAF_mouse_neutral.wav,processed_data\oaf_neutral_OAF_mouse_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_neutral\OAF_gas_neutral.wav,processed_data\oaf_neutral_OAF_gas_neutral.npy,neutral,oaf,neutral,OAF_neutral,TESS
../../dataset\OAF_Sad\OAF_south_sad.wav,processed_data\oaf_sadness_OAF_south_sad.npy,sadness,oaf,sad,OAF_Sad,TESS
../../dataset\YAF_happy\YAF_south_happy.wav,processed_data\yaf_happiness_YAF_south_happy.npy,happiness,yaf,happy,YAF_happy,TESS
../../dataset\YAF_sad\YAF_mob_sad.wav,processed_data\yaf_sadness_YAF_mob_sad.npy,sadness,yaf,sad,YAF_sad,TESS
