file_path,text,emotion,speaker_id,raw_emotion,original_folder,original_file,dataset
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_back_angry.wav,back,anger,oaf,angry,OAF_angry,OAF_back_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bar_angry.wav,bar,anger,oaf,angry,OAF_angry,OAF_bar_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_base_angry.wav,base,anger,oaf,angry,OAF_angry,OAF_base_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bath_angry.wav,bath,anger,oaf,angry,OAF_angry,OAF_bath_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bean_angry.wav,bean,anger,oaf,angry,OAF_angry,OAF_bean_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_beg_angry.wav,beg,anger,oaf,angry,OAF_angry,OAF_beg_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bite_angry.wav,bite,anger,oaf,angry,OAF_angry,OAF_bite_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_boat_angry.wav,boat,anger,oaf,angry,OAF_angry,OAF_boat_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bone_angry.wav,bone,anger,oaf,angry,OAF_angry,OAF_bone_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_book_angry.wav,book,anger,oaf,angry,OAF_angry,OAF_book_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_bought_angry.wav,bought,anger,oaf,angry,OAF_angry,OAF_bought_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_burn_angry.wav,burn,anger,oaf,angry,OAF_angry,OAF_burn_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_cab_angry.wav,cab,anger,oaf,angry,OAF_angry,OAF_cab_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_calm_angry.wav,calm,anger,oaf,angry,OAF_angry,OAF_calm_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_came_angry.wav,came,anger,oaf,angry,OAF_angry,OAF_came_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_cause_angry.wav,cause,anger,oaf,angry,OAF_angry,OAF_cause_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_chain_angry.wav,chain,anger,oaf,angry,OAF_angry,OAF_chain_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_chair_angry.wav,chair,anger,oaf,angry,OAF_angry,OAF_chair_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_chalk_angry.wav,chalk,anger,oaf,angry,OAF_angry,OAF_chalk_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_chat_angry.wav,chat,anger,oaf,angry,OAF_angry,OAF_chat_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_check_angry.wav,check,anger,oaf,angry,OAF_angry,OAF_check_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_cheek_angry.wav,cheek,anger,oaf,angry,OAF_angry,OAF_cheek_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_chief_angry.wav,chief,anger,oaf,angry,OAF_angry,OAF_chief_angry.wav,TESS
