,precision,recall,f1-score,support
anger,0.3630952380952381,0.3961038961038961,0.37888198757763975,154.0
disgust,0.2125,0.34,0.26153846153846155,50.0
fear,0.4444444444444444,0.5,0.47058823529411764,32.0
happiness,0.4700657894736842,0.7358393408856848,0.5736651947009234,1942.0
neutral,0.9404638283142956,0.8396168108776267,0.8871836734693878,12944.0
sadness,0.2881944444444444,0.48823529411764705,0.3624454148471616,170.0
surprise,0.46731234866828086,0.6678200692041523,0.5498575498575499,289.0
accuracy,0.8129773442012708,0.8129773442012708,0.8129773442012708,0.8129773442012708
macro avg,0.4551537276343411,0.5668022015984295,0.4977372167550345,15581.0
weighted avg,0.8568796463685076,0.8129773442012708,0.8282376870947364,15581.0
