,precision,recall,f1-score,support
anger,0.956140350877193,0.8195488721804511,0.8825910931174089,133.0
disgust,0.9923664122137404,0.9774436090225563,0.9848484848484849,133.0
fear,0.9708029197080292,1.0,0.9851851851851852,133.0
happiness,0.9694656488549618,0.9548872180451128,0.9621212121212122,133.0
neutral,0.8832116788321168,0.9097744360902256,0.8962962962962963,133.0
sadness,0.9166666666666666,0.9924812030075187,0.9530685920577617,133.0
surprise,0.948905109489051,0.9774436090225563,0.9629629629629629,133.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9482226838059654,0.9473684210526316,0.9467248323699017,931.0
weighted avg,0.9482226838059655,0.9473684210526315,0.9467248323699018,931.0
