,precision,recall,f1-score,support
anger,0.4630225080385852,0.41739130434782606,0.43902439024390244,345.0
disgust,0.21951219512195122,0.1323529411764706,0.1651376146788991,68.0
fear,0.09090909090909091,0.08,0.0851063829787234,50.0
happiness,0.5364806866952789,0.6218905472636815,0.576036866359447,402.0
neutral,0.7915194346289752,0.7133757961783439,0.7504187604690117,1256.0
sadness,0.2924187725631769,0.3894230769230769,0.334020618556701,208.0
surprise,0.49852507374631266,0.6014234875444839,0.5451612903225806,281.0
accuracy,0.5950191570881226,0.5950191570881226,0.5950191570881226,0.5950191570881226
macro avg,0.4131982516719101,0.42226530763341186,0.4135579890870379,2610.0
weighted avg,0.6091713967235282,0.5950191570881226,0.5991216422403307,2610.0
