PCA_1,PCA_2,Emotion
0.0015254918,-0.27020937,surprise
0.41453835,-0.43844056,surprise
-0.33571327,0.900358,anger
-0.24771133,-0.3049689,happiness
-0.59921765,1.3928518,sadness
-0.5571739,0.82531977,anger
1.3088504,1.9626309,neutral
-2.9397616,-1.0470719,disgust
-0.54388916,0.38895902,anger
-0.5150926,1.3964213,sadness
-1.018066,0.39213905,anger
1.7023852,2.1503277,neutral
-3.4945772,-0.9502455,disgust
0.19447371,-0.4828996,surprise
-0.15624705,-0.6523714,surprise
0.22165295,-0.38525507,surprise
-0.40717295,1.5993751,sadness
2.0844777,-2.8469055,fear
0.39804086,-0.5245823,surprise
1.6636544,1.9641665,neutral
1.1168938,2.0491202,neutral
-0.115672536,-0.01678033,happiness
-0.21544221,1.410377,sadness
-0.64122224,0.04890337,happiness
0.335746,-0.4914376,surprise
1.9408702,-2.6527703,fear
-2.9528844,-0.9012944,disgust
-3.5149934,-0.8151627,disgust
-2.2147896,-1.1327977,disgust
0.039305646,-0.21818726,surprise
-0.4796863,1.6615994,sadness
1.0037981,2.278736,neutral
-0.08084324,0.43211624,anger
-0.20070402,-0.116424,happiness
-0.6086375,0.88665766,anger
-0.22257456,0.7480346,anger
-3.0364478,-0.66370165,disgust
2.0431209,-2.7490418,fear
-0.19793318,1.146199,sadness
0.1427162,-0.34991273,happiness
-0.39401588,-0.04650728,happiness
-0.12272777,0.87573606,anger
1.6441737,-2.4703803,fear
-3.6060276,-0.8625587,disgust
-0.73172885,0.72121215,anger
0.14677729,0.2775252,happiness
0.022608416,1.5044426,sadness
0.38720956,-0.5026348,surprise
0.3368991,-0.51042414,surprise
-0.30064425,0.0639369,happiness
1.8607162,-2.7072308,fear
-0.43032336,0.679595,anger
-0.2655688,0.5400109,anger
-0.39054283,1.6604278,sadness
0.10523617,-0.10192734,happiness
-0.28215763,-0.5927237,surprise
-0.34920672,1.3344823,sadness
-0.05625585,1.5138556,sadness
0.05998677,-0.19274162,happiness
-3.335158,-0.9975716,disgust
0.46298084,-0.45931774,surprise
1.888655,-2.6793208,fear
-0.0874712,0.29592752,happiness
-0.15691583,-0.0594695,happiness
0.0028863684,-0.52509356,surprise
-0.28572318,1.401323,sadness
0.16791706,-0.3524973,happiness
0.15934844,-0.54471755,surprise
-3.4091978,-0.79836553,disgust
-0.5498848,0.7551762,anger
1.9181602,-2.7496953,fear
-0.5490354,0.79616296,anger
-2.2629664,-0.7855282,disgust
-0.22353894,1.1360121,sadness
2.0156229,-2.848663,fear
-3.1457348,-0.72923595,disgust
2.0267262,2.048384,neutral
-0.5736574,1.787815,sadness
0.38288614,-0.55623835,surprise
0.05943254,1.4957708,sadness
1.6260098,-2.4681208,fear
-0.09535845,-0.02970584,happiness
-0.25775778,1.9080678,sadness
1.8628268,-2.8081293,fear
0.36963147,-0.3892969,surprise
-0.027684463,1.65759,sadness
0.006867022,-0.2849062,happiness
-0.2694963,0.8381254,anger
0.04330379,-0.39135334,surprise
1.9848975,1.7500238,neutral
0.5433537,-0.3643739,surprise
-0.5167114,-0.10756941,surprise
0.0058871736,1.5992314,sadness
-0.4422288,1.6350139,sadness
2.0241647,1.5973097,neutral
-0.06935223,1.5837184,sadness
-0.4052708,0.59874237,anger
1.6495913,-2.5346344,fear
-0.39331576,0.5795775,anger
1.791553,-2.4742084,fear
1.8935244,1.8680831,neutral
-0.45205954,0.6822202,anger
-0.114694774,0.6705402,anger
-0.13429391,-0.4741369,happiness
-0.41216886,0.7159515,anger
-0.018985381,1.4258759,sadness
-3.1894083,-1.0494748,disgust
-0.47107577,0.81605375,anger
1.7942688,-2.659866,fear
-0.37596592,0.12485614,anger
-0.29421878,1.8757137,sadness
1.9940649,1.7434094,neutral
1.4361289,2.0996132,neutral
0.34867927,-0.5217567,surprise
-0.54568934,0.8982438,anger
0.4412768,-0.44665304,surprise
1.7299376,-2.4499865,fear
1.787233,-2.678973,fear
-3.3191266,-0.78800756,disgust
-0.23342267,1.6002196,sadness
-2.93953,-0.71579236,disgust
-0.24209596,-0.08210753,happiness
-0.43527362,1.6831666,sadness
1.7178622,1.977643,neutral
-0.268649,0.8502593,anger
-2.9587991,-0.74993986,disgust
1.0909069,1.9040933,neutral
1.924909,-2.7832644,fear
1.203438,1.9325162,neutral
2.0687919,1.8088819,neutral
0.27386814,-0.4657762,surprise
-0.18507007,-0.09598529,happiness
1.968505,1.8638327,neutral
-0.47776163,1.1380944,anger
-3.1256225,-0.52504575,disgust
0.52360296,-0.38384914,surprise
1.8977345,-2.863641,fear
0.24387272,-0.4269588,surprise
0.10110864,-0.44187048,surprise
1.8270125,-2.6741993,fear
-0.380639,0.33304232,anger
0.012581916,-0.5117834,surprise
0.12815975,-0.36829668,surprise
1.3468081,2.0484748,neutral
-2.7277045,-0.7824986,disgust
-3.2639773,-0.9740477,disgust
1.8120878,-2.5874467,fear
-0.19346616,1.3331226,sadness
1.753998,-2.6581104,fear
1.0264975,1.9362867,neutral
-3.3484912,-0.7745171,disgust
-2.6584222,-0.61498797,disgust
-3.3927338,-0.9684275,disgust
0.04233305,1.6435702,sadness
1.4614718,1.9036447,neutral
-0.19539441,0.19192988,happiness
0.057303604,-0.36094514,happiness
-2.6521935,-0.6240889,disgust
0.051066775,-0.40849403,surprise
-2.8360374,-0.7433167,disgust
-0.26881608,-0.26106155,happiness
-3.219178,-0.770914,disgust
0.18277013,-0.18567283,surprise
-2.9010897,-1.1465088,disgust
-3.1665895,-0.89814144,disgust
-0.18441013,0.15277836,happiness
-0.11551698,-0.18130341,surprise
0.5023105,-0.41335484,surprise
-0.033642408,-0.6051043,surprise
-0.06333783,-0.22758971,happiness
0.91858417,1.8001202,neutral
-3.6251047,-1.0221211,disgust
-0.3632902,1.5371727,sadness
0.069831446,-0.43373477,surprise
-3.1383293,-0.89400786,disgust
-0.26544553,-0.20538448,happiness
-3.5127783,-0.9261503,disgust
0.022083355,0.32352158,anger
-0.19956543,0.078540735,anger
0.23136264,1.4622116,sadness
-0.2863474,1.5263048,sadness
1.8190454,1.3848939,neutral
-2.230092,-0.9394816,disgust
-3.0930994,-0.7326521,disgust
0.01246573,-0.22977161,happiness
-0.8089241,0.7007543,anger
-0.2761628,0.64025235,anger
-0.29640257,0.9969055,anger
0.031082626,1.5644561,sadness
-3.431714,-0.9473932,disgust
1.8893753,1.9798152,neutral
1.8484075,-2.755613,fear
1.891519,-2.82109,fear
-3.215612,-0.3705523,disgust
-0.21725842,1.286179,sadness
2.0535483,1.5978912,neutral
-0.066624135,0.82597715,anger
-0.43874672,1.5137173,sadness
-0.66591847,0.6421814,anger
1.8175458,-2.7327836,fear
-0.11156712,1.6782359,sadness
-0.1400232,0.21637726,happiness
1.2996296,2.0133002,neutral
-0.46517107,1.8851902,sadness
0.2695933,-0.46271944,surprise
0.22487529,1.3476416,sadness
-3.2234018,-0.78486705,disgust
0.11351417,-0.34592,happiness
2.0889804,-2.7668903,fear
1.7923534,1.8336883,neutral
-0.137223,0.01519603,happiness
-0.3213263,1.63884,sadness
1.7181563,-2.739547,fear
-3.001035,-1.030421,disgust
0.007675227,1.1815649,sadness
-3.2012346,-1.0981724,disgust
-0.5290073,0.738312,anger
1.7176224,1.9634312,neutral
-0.35326526,1.4745853,sadness
-0.33186454,1.4671146,sadness
-0.8029512,0.42463264,anger
2.0061932,-2.7511842,fear
-0.27957448,0.25695682,happiness
-0.2007428,0.24131045,happiness
0.12682553,-0.40318,happiness
0.49310637,-0.70429456,happiness
-2.9457524,-0.24309167,disgust
-3.1055696,-0.7386373,disgust
2.1766853,1.388551,neutral
0.17951573,-0.5788454,surprise
-3.4798186,-0.70049804,disgust
1.445054,2.045113,neutral
1.8613389,1.6018708,neutral
-3.0293314,-0.56666565,disgust
-0.14247249,-0.40308467,surprise
-0.22838058,1.7697505,sadness
0.23375134,-0.8601084,happiness
2.1255,-2.9087753,fear
-3.1475635,-0.86094856,disgust
0.5151504,-0.6810369,surprise
-3.0987148,-0.6041364,disgust
-0.20562063,-0.009902647,anger
-3.444168,-0.7608509,disgust
-0.60459346,1.432445,sadness
0.21502277,-0.35823026,happiness
-0.576094,0.7344941,anger
0.42996812,-0.3862369,surprise
1.1753662,1.9415969,neutral
1.7760382,-2.70745,fear
-3.044172,-0.7933694,disgust
-0.44748595,1.4578501,sadness
1.9890628,-2.5740054,fear
1.754603,1.9090488,neutral
-0.22993146,0.34057367,anger
2.0023992,1.8368579,neutral
1.333134,1.8867575,neutral
-0.3037971,1.281398,sadness
-1.0915972,0.46214154,anger
0.4425917,-0.6391314,surprise
-0.29886544,0.34527728,anger
-3.4513175,-0.93033326,disgust
-0.76871294,0.65952307,anger
-0.28058,1.2475146,sadness
1.7110671,1.9226197,neutral
1.2675246,1.9127163,neutral
-0.61201066,0.5906968,anger
-0.2670986,0.60142493,anger
-0.43301237,1.0053653,anger
-0.002135394,-0.42062497,happiness
-0.214032,1.677716,sadness
1.341234,1.9131587,neutral
-0.25052804,0.27286077,happiness
1.4809964,2.0233333,neutral
0.51524234,-0.42639124,surprise
1.4308008,1.8649257,neutral
-0.14821804,-0.16064173,happiness
0.36387926,-0.45038515,surprise
0.065332055,-0.024490481,happiness
2.2226405,1.9173206,neutral
1.626694,1.8889076,neutral
-0.20152386,0.0009792637,happiness
-0.5489462,1.335145,sadness
-0.2757997,0.52709717,anger
0.10488285,-0.48198453,surprise
0.23722856,-0.46792957,surprise
-0.43932933,0.99345213,anger
-0.22287416,0.6015647,anger
0.19693962,-0.46953565,surprise
-1.83049,-0.9605499,disgust
-0.28981736,-0.13655877,happiness
-0.2698315,0.7357375,anger
0.08243219,1.2514431,sadness
2.139126,1.4440075,neutral
0.3005517,-0.7274636,happiness
1.8329394,1.7153599,neutral
-2.8634515,-0.99894524,disgust
-0.7507401,0.9539823,anger
0.5617256,-0.86809295,surprise
-0.58411014,0.92491794,anger
-0.15425014,0.043675084,happiness
2.0685012,-2.9075263,fear
-1.630201,-0.64212036,disgust
1.4839382,-2.118552,fear
-0.35198328,1.039434,anger
-2.790177,-1.0168053,disgust
-2.6077814,-1.1371878,disgust
1.7253027,2.1108205,neutral
1.6400377,1.5345714,neutral
2.0184002,-2.7407315,fear
1.193967,1.8613297,neutral
-0.48937157,1.3852359,sadness
-0.06858909,-0.54187334,happiness
-0.46654102,1.5901855,sadness
0.5229726,-0.42479542,surprise
0.22549467,-0.5328086,surprise
-3.054826,-0.94848853,disgust
1.8638939,-2.669041,fear
1.6838901,1.930419,neutral
1.9040153,1.7836951,neutral
1.9363457,-2.7121696,fear
-0.896676,1.0658528,anger
0.24752933,-0.29947066,surprise
-0.19252498,0.064390555,happiness
-0.19495901,0.108589895,happiness
-3.3872428,-0.9906584,disgust
-0.46895385,1.6341316,sadness
-3.467482,-1.0111892,disgust
-0.5797028,0.591235,anger
0.08126406,-0.6675671,happiness
-0.22669294,1.5254471,sadness
-2.9906154,-0.7338977,disgust
1.6928807,-2.5522835,fear
2.2412364,1.7700456,neutral
1.4693879,1.5755118,neutral
-2.5332131,-0.9096205,disgust
-2.042118,-0.55604815,disgust
0.17317076,-0.33881262,happiness
2.0403533,1.7576594,neutral
-2.2539108,-1.1646571,disgust
2.0328965,-2.8923948,fear
0.14671065,1.3988997,sadness
1.2579476,1.9144162,neutral
2.1920426,1.7092085,neutral
1.9153154,1.9629534,neutral
1.4914596,-2.4903817,fear
-2.9258661,-0.754475,disgust
0.060308088,0.063763976,happiness
-0.32046318,0.8937596,anger
1.7375797,-2.4955747,fear
0.012092016,0.30193943,happiness
2.0880606,1.8384577,neutral
-0.71897835,1.1746236,sadness
-0.4005241,0.07849764,happiness
0.15226005,-0.3309917,happiness
0.3188634,-0.40078992,surprise
1.1052426,2.0141547,neutral
1.9129422,-2.814605,fear
-2.8921814,-0.67085904,disgust
2.044458,1.8728422,neutral
-0.18706372,0.13244922,happiness
-0.46126106,0.79278255,anger
-0.5193621,0.84087616,anger
2.0139225,-2.7846203,fear
0.14253178,-0.5147556,surprise
-0.331717,1.3989773,sadness
-0.667827,0.7384911,anger
0.4897067,-0.46929166,surprise
1.7098399,2.04319,neutral
-0.30010295,1.541048,sadness
2.0162826,1.7750567,neutral
-0.29633448,1.6996893,sadness
-0.2524656,0.6247516,anger
0.20984176,-0.30606633,happiness
-2.8082056,-0.5522025,disgust
1.5945174,2.041064,neutral
-0.23881157,0.14718205,happiness
1.8919758,1.9732051,neutral
1.9859242,1.820019,neutral
2.0176241,1.9058305,neutral
1.727872,-2.5814996,fear
-0.13728392,-0.11014584,happiness
0.21312737,-0.39009222,happiness
0.32379138,-0.64107805,surprise
-0.18532524,-0.3314334,happiness
0.39781758,-0.7822057,surprise
1.9269191,-2.507393,fear
1.5895927,-2.1376524,fear
-0.19285414,0.28942937,happiness
-3.7850351,-0.7890815,disgust
0.016142836,-0.6102601,surprise
-0.27815783,1.5880771,sadness
-0.018118285,1.2804401,sadness
-3.1487672,-0.67145437,disgust
-0.20603499,1.6579611,sadness
1.7495975,1.9733883,neutral
1.1559235,-1.5252124,fear
-2.5629041,-0.67599696,disgust
-0.5622402,0.42194664,anger
0.34712675,-0.33910534,surprise
0.35911712,-0.4786527,surprise
-0.47706354,0.6741509,anger
1.2698754,1.7183512,neutral
-3.349794,-0.78908306,disgust
-2.5817401,-1.155518,disgust
0.26293552,-0.4001333,surprise
-0.10335952,-0.24831462,happiness
0.09208808,0.06983373,happiness
0.4028951,-0.5446594,surprise
-0.5690843,0.8823858,anger
-0.39027512,1.5116153,sadness
1.8367537,-2.7082815,fear
0.073370084,-0.3727164,happiness
1.5863316,-2.4234917,fear
-3.0640006,-0.9647222,disgust
-0.42670906,0.8615926,anger
2.1552014,1.7749671,neutral
0.26586065,-0.60197467,happiness
-3.232994,-0.6664069,disgust
0.48075882,-0.4320689,surprise
0.31612167,-0.45390168,surprise
-0.07379157,0.051072437,happiness
-0.24174678,1.4864924,sadness
-0.02763511,1.5833907,sadness
-2.8911743,-0.5929945,disgust
0.22412193,-0.40179586,happiness
-0.25096476,0.9254803,anger
-0.2805031,1.4974567,sadness
-0.34946913,1.4821396,sadness
-0.3437946,-0.019198658,happiness
2.1232371,1.6316444,neutral
-0.41705766,1.4543179,sadness
-0.25058284,0.106224656,happiness
0.06815525,0.17281133,happiness
1.4979659,-2.3660119,fear
-2.225149,-1.0180858,disgust
1.8839877,-2.7630622,fear
-0.33744788,0.07044838,happiness
0.557791,-0.2051543,surprise
-0.030248083,-0.052465454,happiness
-0.017657593,1.5863479,sadness
1.8209751,-2.6810308,fear
-0.33719695,0.5901068,anger
1.9109391,-2.7837093,fear
-0.4043368,0.111711584,happiness
2.0264246,1.6455703,neutral
-0.11904689,-0.20109342,happiness
-0.34782502,1.3001251,sadness
0.2607771,-0.4084334,surprise
-3.3389168,-0.78179604,disgust
-0.066984266,0.06806493,happiness
-3.217758,-0.82166773,disgust
0.24553868,-0.119889624,happiness
-0.4182898,1.2500561,anger
0.033777248,0.50240326,anger
-3.2119918,-0.78579575,disgust
0.44373378,-0.56106627,surprise
-2.840383,-0.9728805,disgust
1.6308985,1.8739789,neutral
0.15296243,-0.38548604,happiness
1.4346242,1.9387804,neutral
-0.12565814,0.18716988,happiness
0.15435053,-0.3574707,happiness
-2.239243,-0.9687029,disgust
-3.0572822,-1.0306433,disgust
1.6421094,2.1050968,neutral
2.0624256,1.7009261,neutral
-3.5463536,-0.81442314,disgust
-0.22982794,-0.54623467,surprise
1.1381675,2.0128293,neutral
1.5944444,1.9381659,neutral
1.9678926,1.8081149,neutral
1.7919606,1.8798873,neutral
-0.034945987,-0.093802676,happiness
-0.25068283,-0.33142695,happiness
-2.6855104,-0.62702775,disgust
0.08433348,-0.28849414,happiness
-3.4591014,-0.9005169,disgust
-0.24860634,-0.09536059,happiness
-3.5425081,-1.0172557,disgust
-2.8818586,-0.8601359,disgust
0.32937282,-0.42834157,surprise
-0.24176385,1.2106718,sadness
1.5477881,1.9077598,neutral
0.28355604,-0.5849575,surprise
-0.5145638,0.31139874,anger
-0.39781624,0.4002866,anger
1.8794249,1.8559723,neutral
1.8510875,-2.8493898,fear
1.9311194,1.8441848,neutral
-0.42787382,0.55710626,anger
0.31562594,-0.49583507,surprise
-0.5270936,1.5390295,sadness
0.09789209,-0.5382435,surprise
-2.6599033,-0.8106544,disgust
-0.5834132,0.6873816,anger
0.48423484,-0.49380973,surprise
0.2552281,-0.47851983,surprise
-0.29276866,-0.19893515,happiness
-0.14629667,1.3734926,sadness
0.18821134,-0.77313006,surprise
0.34776303,-0.45959064,surprise
-0.6660605,0.89405227,anger
1.878231,-2.7512033,fear
2.0796046,1.5005091,neutral
0.2081457,-0.28294507,surprise
1.3326873,-1.9325342,fear
-0.44247895,0.8276863,anger
-0.15686637,-0.30914828,happiness
0.4383013,-0.51153004,surprise
1.596758,1.8527892,neutral
1.9183758,-2.736111,fear
-0.47292492,0.6423254,anger
2.0224586,-2.792879,fear
2.1379654,-2.7554197,fear
-2.8251026,-0.9021302,disgust
