,precision,recall,f1-score,support
anger,1.0,0.9924812030075187,0.9962264150943396,133.0
disgust,1.0,1.0,1.0,133.0
fear,1.0,1.0,1.0,133.0
happiness,1.0,1.0,1.0,133.0
neutral,1.0,1.0,1.0,133.0
sadness,0.9925373134328358,1.0,0.9962546816479401,133.0
surprise,1.0,1.0,1.0,133.0
accuracy,0.9989258861439313,0.9989258861439313,0.9989258861439313,0.9989258861439313
macro avg,0.9989339019189766,0.9989258861439313,0.9989258709631829,931.0
weighted avg,0.9989339019189765,0.9989258861439313,0.9989258709631827,931.0
