PCA_1,PCA_2,Emotion
0.017637704,-0.00983968,surprise
0.07615857,-0.10653372,surprise
0.07053561,0.063867874,anger
0.07630286,-0.17262925,happiness
0.06435609,-0.14401037,sadness
-0.040584948,-0.08256005,anger
-0.16775584,-0.04757503,neutral
0.17938997,-0.1954992,disgust
0.10594451,-0.11063038,anger
-0.13947608,-0.013115569,sadness
0.077189736,-0.17668663,anger
0.13320646,-0.22161353,neutral
1.2943923,0.12661585,disgust
0.0030721053,-0.052792586,surprise
-0.19201942,-0.13409713,surprise
-0.17045556,-0.050424088,surprise
-0.08530416,0.13492113,sadness
0.07053561,0.0638679,fear
-0.1913105,0.13300242,surprise
0.07951399,0.33200413,neutral
-0.120480604,-0.0074905115,neutral
0.040427793,-0.32947627,happiness
1.3987507,0.5604975,sadness
0.06443113,0.114748135,happiness
-0.13381214,0.10223985,surprise
-0.16321677,0.013536838,fear
1.3205988,0.47617945,disgust
-0.030898264,0.04582494,disgust
0.10594451,-0.11063038,disgust
-0.06447576,0.13601355,surprise
-0.042544063,-0.2936579,sadness
0.25303778,0.3090599,neutral
0.06435609,-0.14401038,anger
-0.053079505,0.074426234,happiness
0.005059388,-0.17136386,anger
-0.08747173,0.028204007,anger
0.15776278,0.4803294,disgust
0.75228137,-0.29736015,fear
0.11860745,-0.07730206,sadness
-0.05968969,0.13877466,happiness
-0.17497143,-0.01001414,happiness
0.2936579,-0.29258102,anger
0.065488406,-0.12445485,fear
-0.20043495,0.05363177,disgust
1.2943923,0.12661585,anger
-0.2408907,0.09237195,happiness
0.25303778,0.3090599,sadness
-0.09144384,-0.028333412,surprise
-0.18722096,-0.09684987,surprise
-0.08623164,-0.04268695,happiness
0.023264877,-0.08878154,fear
1.3701444,-0.16284399,anger
-0.19313544,-0.0065194354,anger
-0.019110536,0.031918958,sadness
-0.09362479,0.037001334,happiness
-0.05103984,-0.022956163,surprise
0.04042781,-0.32947627,sadness
0.14600131,0.039876014,sadness
-0.14054504,0.071025856,happiness
-0.102868415,-0.060446385,disgust
0.07053561,0.0638679,surprise
0.11782933,-0.24528381,fear
-0.1913105,0.13300242,happiness
0.3702232,-0.5008554,happiness
-0.053079505,0.074426234,surprise
-0.34481373,0.14231077,sadness
0.0064815385,-0.30118817,happiness
0.29157788,0.40231165,surprise
-0.19077465,0.059510432,disgust
0.012260571,-0.054196976,anger
-0.16605705,-0.06288767,fear
-0.24459122,0.08717733,anger
-0.2685256,0.009711014,disgust
0.07615857,-0.10653377,sadness
-0.24088715,0.14179567,fear
-0.19102116,0.07426079,disgust
-0.19102116,0.07426079,neutral
0.040583268,-0.27695444,sadness
-0.20235099,0.023059448,surprise
-0.09336738,-0.08056685,sadness
-0.100585856,0.06041249,fear
0.14600131,0.039876018,happiness
0.038775206,0.115006275,sadness
-0.19313543,-0.0065194285,fear
0.064431146,0.11474818,surprise
-0.21271974,-0.017628593,sadness
0.0030721042,-0.052792616,happiness
-0.09362481,0.037001334,anger
-0.02728575,-0.017319797,surprise
0.17938997,-0.1954992,neutral
0.010141698,-0.104889154,surprise
-0.09336738,-0.08056685,surprise
0.07053561,0.0638679,sadness
0.13211104,-0.36348322,sadness
-0.019110536,0.031918958,neutral
-0.14562523,-0.077927686,sadness
-0.111881614,-0.16201569,anger
-0.12778412,0.12564418,fear
-0.05968969,0.13877466,anger
-0.1559947,-0.06262026,fear
0.11860745,-0.07730206,neutral
-0.22382201,0.08790441,anger
0.017637048,-0.009839925,anger
-0.13726649,0.16583748,happiness
-0.035597842,0.13985588,anger
0.065488406,-0.12445485,sadness
-0.10980303,0.061782073,disgust
-0.12778412,0.12564418,anger
-0.002773034,-0.19741733,fear
-0.11887141,0.037337136,anger
-0.19102116,0.07426079,sadness
-0.17435198,0.101989485,neutral
-0.19201942,-0.13409713,neutral
0.07731617,-0.01697444,surprise
0.0030721042,-0.052792616,anger
0.41085118,-0.48837045,surprise
-0.13726649,0.1658375,fear
-0.070683554,0.12165723,fear
0.11782933,-0.24528381,disgust
-0.11614837,-0.029820703,sadness
-0.22545172,0.155238,disgust
-0.111881614,-0.16201569,happiness
-0.18799199,0.013306231,sadness
-0.04512061,0.08542253,neutral
-0.16775584,-0.047575027,anger
0.07615857,-0.10653377,disgust
-0.051039845,-0.022956157,neutral
-0.2685256,0.009711014,fear
-0.25172606,0.023801494,neutral
-0.13381214,0.102239855,neutral
0.106165774,0.073690124,surprise
-0.17045556,-0.050424088,happiness
-0.34481373,0.14231077,neutral
-0.21271972,-0.017628595,anger
0.06189526,-0.23877138,disgust
-0.19102116,0.07426079,surprise
-0.102868415,-0.060446385,fear
-0.07873617,-0.09857451,surprise
-0.1630876,-0.061544582,surprise
0.11860745,-0.07730206,fear
-0.2079152,-0.06815953,anger
-0.019110536,0.031918958,surprise
-0.25695524,0.05801501,surprise
-0.000100557336,-0.04167384,neutral
0.049388345,-0.010000711,disgust
-0.11465796,-0.067080766,disgust
-0.07016227,0.03084049,fear
0.4108511,-0.48837027,sadness
-0.06371401,-0.031273935,fear
0.3702232,-0.5008554,neutral
-0.2178883,0.06278422,disgust
-0.26028797,0.05350464,disgust
0.07630286,-0.17262922,disgust
-0.18515484,0.07679399,sadness
-0.16963507,0.027563183,neutral
-0.25695515,0.058014996,happiness
-0.12735017,0.11768453,happiness
-0.17169124,0.05877248,disgust
0.065488406,-0.12445485,surprise
-0.111881614,-0.16201569,disgust
-0.019110536,0.031918958,happiness
-0.06371401,-0.031273935,disgust
-0.08747173,0.028204007,surprise
0.05467562,0.21102148,disgust
-0.19201942,-0.13409713,disgust
-0.34481373,0.14231077,happiness
-0.21271972,-0.017628595,surprise
0.07951399,0.33200413,surprise
-0.1559947,-0.06262026,surprise
-0.16775584,-0.047575027,happiness
-0.24517976,0.115763634,neutral
-0.17358074,0.057250258,disgust
-0.10286845,-0.06044637,sadness
