,precision,recall,f1-score,support
anger,0.14845024469820556,0.6842105263157895,0.24396782841823056,133.0
disgust,0.15302491103202848,0.3233082706766917,0.20772946859903382,133.0
fear,0.13513513513513514,0.03759398496240601,0.058823529411764705,133.0
happiness,0.0,0.0,0.0,133.0
neutral,0.0,0.0,0.0,133.0
sadness,0.0,0.0,0.0,133.0
surprise,0.0,0.0,0.0,133.0
accuracy,0.14930182599355532,0.14930182599355532,0.14930182599355532,0.14930182599355532
macro avg,0.06237289869505274,0.14930182599355532,0.07293154663271843,931.0
weighted avg,0.06237289869505275,0.14930182599355532,0.07293154663271845,931.0
